Total Accesses:,7086622
Frames,Missees,Miss Rate
1,4245232,0.599049
2,3922343,0.553486
3,3759969,0.530573
4,3628101,0.511965
5,3531624,0.498351
6,3415427,0.481954
7,3226190,0.455251
8,2988044,0.421646
9,2762231,0.389781
10,2584054,0.364638
11,2469983,0.348542
12,2374624,0.335085
13,2273945,0.320879
14,2170811,0.306325
15,2075780,0.292915
16,1989109,0.280685
17,1907137,0.269118
18,1825220,0.257559
19,1744901,0.246225
20,1668149,0.235394
21,1598287,0.225536
22,1536368,0.216798
23,1484170,0.209433
24,1439871,0.203182
25,1402374,0.197890
26,1370033,0.193327
27,1342502,0.189442
28,1318506,0.186056
29,1296784,0.182990
30,1277577,0.180280
31,1260057,0.177808
32,1243817,0.175516
33,1228572,0.173365
34,1214192,0.171336
35,1200441,0.169395
36,1187226,0.167531
37,1174405,0.165721
38,1162236,0.164004
39,1150292,0.162319
40,1138787,0.160695
41,1127554,0.159110
42,1116637,0.157570
43,1105976,0.156065
44,1095477,0.154584
45,1085358,0.153156
46,1075385,0.151749
47,1065676,0.150379
48,1056177,0.149038
49,1046864,0.147724
50,1037715,0.146433
51,1028836,0.145180
52,1019972,0.143929
53,1011211,0.142693
54,1002647,0.141484
55,994266,0.140302
56,986083,0.139147
57,978031,0.138011
58,970065,0.136887
59,962267,0.135786
60,954462,0.134685
61,946676,0.133586
62,939274,0.132542
63,931981,0.131513
64,924565,0.130466
65,917159,0.129421
66,909876,0.128393
67,902804,0.127396
68,895970,0.126431
69,889209,0.125477
70,882586,0.124543
71,876096,0.123627
72,869592,0.122709
73,863231,0.121811
74,857031,0.120936
75,851084,0.120097
76,845061,0.119247
77,839197,0.118420
78,833576,0.117627
79,828081,0.116851
80,822509,0.116065
81,816989,0.115286
82,811634,0.114530
83,806394,0.113791
84,801242,0.113064
85,796215,0.112355
86,791271,0.111657
87,786426,0.110973
88,781628,0.110296
89,776882,0.109627
90,772196,0.108965
91,767562,0.108311
92,762929,0.107658
93,758463,0.107027
94,754051,0.106405
95,749646,0.105783
96,745281,0.105167
97,740919,0.104552
98,736683,0.103954
99,732565,0.103373
100,728419,0.102788
101,724266,0.102202
102,720188,0.101626
103,716059,0.101044
104,712213,0.100501
105,708224,0.099938
106,704341,0.099390
107,700622,0.098865
108,696889,0.098339
109,693220,0.097821
110,689694,0.097323
111,686094,0.096815
112,682461,0.096303
113,678965,0.095809
114,675473,0.095317
115,672121,0.094844
116,668802,0.094375
117,665514,0.093911
118,662163,0.093438
119,658956,0.092986
120,655691,0.092525
121,652491,0.092074
122,649315,0.091625
123,646145,0.091178
124,643062,0.090743
125,639960,0.090305
126,636873,0.089870
127,633921,0.089453
128,630942,0.089033
129,627946,0.088610
130,625044,0.088201
131,622131,0.087789
132,619204,0.087376
133,616351,0.086974
134,613496,0.086571
135,610808,0.086192
136,608047,0.085802
137,605342,0.085420
138,602626,0.085037
139,599879,0.084649
140,597241,0.084277
141,594642,0.083911
142,592101,0.083552
143,589512,0.083187
144,587022,0.082835
145,584539,0.082485
146,582044,0.082133
147,579513,0.081776
148,577078,0.081432
149,574645,0.081089
150,572213,0.080746
151,569869,0.080415
152,567549,0.080087
153,565178,0.079753
154,562894,0.079431
155,560705,0.079122
156,558485,0.078808
157,556232,0.078490
158,554051,0.078183
159,551772,0.077861
160,549667,0.077564
161,547530,0.077262
162,545377,0.076959
163,543287,0.076664
164,541224,0.076373
165,539157,0.076081
166,537123,0.075794
167,535050,0.075501
168,532919,0.075201
169,530899,0.074916
170,528922,0.074637
171,526889,0.074350
172,524825,0.074059
173,522887,0.073785
174,520950,0.073512
175,518953,0.073230
176,517026,0.072958
177,515164,0.072695
178,513288,0.072431
179,511365,0.072159
180,509486,0.071894
181,507605,0.071629
182,505730,0.071364
183,503821,0.071095
184,502035,0.070843
185,500262,0.070592
186,498542,0.070350
187,496760,0.070098
188,494935,0.069841
189,493164,0.069591
190,491393,0.069341
191,489721,0.069105
192,487955,0.068856
193,486284,0.068620
194,484600,0.068382
195,482963,0.068151
196,481322,0.067920
197,479762,0.067700
198,478184,0.067477
199,476529,0.067243
200,474861,0.067008
201,473283,0.066785
202,471689,0.066560
203,470035,0.066327
204,468432,0.066101
205,466880,0.065882
206,465355,0.065667
207,463794,0.065446
208,462218,0.065224
209,460745,0.065016
210,459322,0.064815
211,457831,0.064605
212,456399,0.064403
213,454888,0.064190
214,453430,0.063984
215,451981,0.063779
216,450595,0.063584
217,449091,0.063372
218,447636,0.063166
219,446150,0.062957
220,444703,0.062752
221,443289,0.062553
222,441821,0.062346
223,440381,0.062143
224,438991,0.061946
225,437619,0.061753
226,436232,0.061557
227,434857,0.061363
228,433475,0.061168
229,432052,0.060967
230,430659,0.060771
231,429305,0.060580
232,427942,0.060387
233,426603,0.060198
234,425173,0.059997
235,423876,0.059814
236,422509,0.059621
237,421188,0.059434
238,419876,0.059249
239,418523,0.059058
240,417243,0.058878
241,415944,0.058694
242,414678,0.058516
243,413409,0.058337
244,412088,0.058150
245,410883,0.057980
246,409623,0.057802
247,408412,0.057631
248,407108,0.057447
249,405932,0.057281
250,404661,0.057102
251,403365,0.056919
252,402102,0.056741
253,400925,0.056575
254,399754,0.056410
255,398472,0.056229
256,397246,0.056056
257,396047,0.055887
258,394854,0.055718
259,393673,0.055552
260,392425,0.055375
261,391266,0.055212
262,390128,0.055051
263,388967,0.054888
264,387837,0.054728
265,386707,0.054569
266,385546,0.054405
267,384501,0.054257
268,383417,0.054104
269,382376,0.053957
270,381271,0.053802
271,380136,0.053641
272,379015,0.053483
273,377891,0.053325
274,376760,0.053165
275,375693,0.053014
276,374609,0.052861
277,373545,0.052711
278,372460,0.052558
279,371416,0.052411
280,370343,0.052259
281,369330,0.052117
282,368337,0.051976
283,367260,0.051824
284,366291,0.051688
285,365276,0.051544
286,364239,0.051398
287,363296,0.051265
288,362289,0.051123
289,361289,0.050982
290,360254,0.050836
291,359233,0.050692
292,358194,0.050545
293,357273,0.050415
294,356301,0.050278
295,355280,0.050134
296,354261,0.049990
297,353236,0.049845
298,352247,0.049706
299,351214,0.049560
300,350255,0.049425
301,349252,0.049283
302,348296,0.049148
303,347312,0.049010
304,346315,0.048869
305,345366,0.048735
306,344431,0.048603
307,343524,0.048475
308,342519,0.048333
309,341526,0.048193
310,340549,0.048055
311,339611,0.047923
312,338714,0.047796
313,337759,0.047661
314,336785,0.047524
315,335868,0.047395
316,334921,0.047261
317,334025,0.047135
318,333085,0.047002
319,332161,0.046872
320,331283,0.046748
321,330381,0.046620
322,329455,0.046490
323,328527,0.046359
324,327634,0.046233
325,326771,0.046111
326,325920,0.045991
327,325092,0.045874
328,324225,0.045752
329,323383,0.045633
330,322559,0.045517
331,321712,0.045397
332,320846,0.045275
333,320013,0.045157
334,319080,0.045026
335,318197,0.044901
336,317330,0.044779
337,316462,0.044656
338,315638,0.044540
339,314775,0.044418
340,313942,0.044301
341,313174,0.044192
342,312390,0.044082
343,311622,0.043973
344,310759,0.043851
345,309956,0.043738
346,309156,0.043625
347,308314,0.043506
348,307508,0.043393
349,306690,0.043277
350,305923,0.043169
351,305143,0.043059
352,304358,0.042948
353,303528,0.042831
354,302787,0.042727
355,302031,0.042620
356,301219,0.042505
357,300429,0.042394
358,299688,0.042289
359,298939,0.042184
360,298227,0.042083
361,297516,0.041983
362,296782,0.041879
363,296096,0.041782
364,295401,0.041684
365,294595,0.041571
366,293840,0.041464
367,293073,0.041356
368,292336,0.041252
369,291619,0.041151
370,290940,0.041055
371,290264,0.040959
372,289555,0.040859
373,288814,0.040755
374,288103,0.040654
375,287392,0.040554
376,286629,0.040446
377,285910,0.040345
378,285174,0.040241
379,284455,0.040140
380,283715,0.040035
381,283056,0.039942
382,282407,0.039851
383,281656,0.039745
384,280966,0.039647
385,280237,0.039545
386,279526,0.039444
387,278812,0.039343
388,278138,0.039248
389,277443,0.039150
390,276703,0.039046
391,275994,0.038946
392,275307,0.038849
393,274604,0.038750
394,273919,0.038653
395,273182,0.038549
396,272492,0.038452
397,271838,0.038359
398,271161,0.038264
399,270480,0.038168
400,269789,0.038070
401,269146,0.037979
402,268435,0.037879
403,267830,0.037794
404,267190,0.037703
405,266593,0.037619
406,265953,0.037529
407,265310,0.037438
408,264637,0.037343
409,264017,0.037256
410,263383,0.037166
411,262765,0.037079
412,262153,0.036993
413,261515,0.036903
414,260912,0.036818
415,260283,0.036729
416,259696,0.036646
417,259103,0.036562
418,258505,0.036478
419,257913,0.036394
420,257293,0.036307
421,256735,0.036228
422,256125,0.036142
423,255517,0.036056
424,254898,0.035969
425,254307,0.035886
426,253698,0.035800
427,253109,0.035716
428,252502,0.035631
429,251911,0.035547
430,251328,0.035465
431,250747,0.035383
432,250194,0.035305
433,249625,0.035225
434,249080,0.035148
435,248512,0.035068
436,247900,0.034981
437,247331,0.034901
438,246808,0.034827
439,246276,0.034752
440,245724,0.034674
441,245206,0.034601
442,244686,0.034528
443,244181,0.034457
444,243665,0.034384
445,243126,0.034308
446,242611,0.034235
447,242067,0.034158
448,241512,0.034080
449,240964,0.034003
450,240493,0.033936
451,239998,0.033866
452,239490,0.033795
453,238974,0.033722
454,238487,0.033653
455,237937,0.033576
456,237414,0.033502
457,236866,0.033424
458,236354,0.033352
459,235828,0.033278
460,235322,0.033207
461,234818,0.033135
462,234317,0.033065
463,233817,0.032994
464,233334,0.032926
465,232807,0.032852
466,232246,0.032772
467,231772,0.032706
468,231293,0.032638
469,230800,0.032568
470,230330,0.032502
471,229837,0.032433
472,229371,0.032367
473,228866,0.032295
474,228359,0.032224
475,227881,0.032157
476,227382,0.032086
477,226903,0.032018
478,226392,0.031946
479,225909,0.031878
480,225389,0.031805
481,224876,0.031732
482,224403,0.031666
483,223947,0.031601
484,223453,0.031532
485,222996,0.031467
486,222528,0.031401
487,222062,0.031335
488,221602,0.031270
489,221112,0.031201
490,220700,0.031143
491,220219,0.031075
492,219817,0.031019
493,219381,0.030957
494,218912,0.030891
495,218429,0.030823
496,217988,0.030760
497,217542,0.030698
498,217072,0.030631
499,216629,0.030569
500,216154,0.030502
501,215709,0.030439
