Total Accesses:,7086622
Frames,Missees,Miss Rate
1,4683848,0.660942
2,4394631,0.620131
3,4241057,0.598460
4,4132968,0.583207
5,4054124,0.572081
6,3971934,0.560483
7,3837519,0.541516
8,3623384,0.511299
9,3394325,0.478976
10,3191157,0.450307
11,3032253,0.427884
12,2924551,0.412686
13,2832445,0.399689
14,2737830,0.386338
15,2642349,0.372864
16,2552119,0.360132
17,2469757,0.348510
18,2391412,0.337454
19,2315283,0.326712
20,2239430,0.316008
21,2165604,0.305590
22,2096116,0.295785
23,2032999,0.286878
24,1977586,0.279059
25,1930475,0.272411
26,1890627,0.266788
27,1856798,0.262015
28,1828575,0.258032
29,1804383,0.254618
30,1783329,0.251647
31,1765110,0.249076
32,1749232,0.246836
33,1734684,0.244783
34,1721689,0.242949
35,1709601,0.241243
36,1698313,0.239651
37,1687757,0.238161
38,1677729,0.236746
39,1668127,0.235391
40,1658724,0.234064
41,1649722,0.232794
42,1641078,0.231574
43,1632911,0.230422
44,1624845,0.229283
45,1617064,0.228185
46,1609196,0.227075
47,1601748,0.226024
48,1594285,0.224971
49,1587092,0.223956
50,1580044,0.222962
51,1573097,0.221981
52,1566270,0.221018
53,1559689,0.220089
54,1553097,0.219159
55,1546743,0.218262
56,1540532,0.217386
57,1534498,0.216534
58,1528497,0.215688
59,1522641,0.214861
60,1516728,0.214027
61,1511047,0.213225
62,1505454,0.212436
63,1499799,0.211638
64,1494274,0.210858
65,1488910,0.210102
66,1483619,0.209355
67,1478435,0.208623
68,1473326,0.207902
69,1468292,0.207192
70,1463251,0.206481
71,1458379,0.205793
72,1453426,0.205094
73,1448567,0.204409
74,1443884,0.203748
75,1439064,0.203068
76,1434422,0.202413
77,1429922,0.201778
78,1425505,0.201154
79,1421065,0.200528
80,1416702,0.199912
81,1412572,0.199329
82,1408402,0.198741
83,1404339,0.198168
84,1400346,0.197604
85,1396396,0.197047
86,1392545,0.196503
87,1388665,0.195956
88,1385041,0.195444
89,1381446,0.194937
90,1377871,0.194433
91,1374400,0.193943
92,1370808,0.193436
93,1367472,0.192965
94,1364105,0.192490
95,1360741,0.192015
96,1357440,0.191550
97,1354250,0.191100
98,1351211,0.190671
99,1348118,0.190234
100,1345015,0.189796
101,1342018,0.189373
102,1339033,0.188952
103,1336007,0.188525
104,1332981,0.188098
105,1330097,0.187691
106,1327094,0.187268
107,1324279,0.186870
108,1321415,0.186466
109,1318623,0.186072
110,1315814,0.185676
111,1313181,0.185304
112,1310421,0.184915
113,1307698,0.184531
114,1304920,0.184139
115,1302211,0.183756
116,1299540,0.183379
117,1296848,0.182999
118,1294208,0.182627
119,1291631,0.182263
120,1288998,0.181892
121,1286443,0.181531
122,1283975,0.181183
